M1_P1,M1_P2,M2_P1,M2_P2
8.498025372433445357e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.209867978649483256e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.099378981452811654e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.779723589833658970e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
7.798081064691562148e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
7.820540210668247560e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.626064085381897062e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
8.820560060886497578e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.344179826772665010e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.369878593955148771e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.986520568321327618e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
1.027039712960809092e+00,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.523215503042347319e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.235509739933375428e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.019567408473242454e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.575683060401528612e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.458886656210518940e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.484945679775927951e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.119804328210232569e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.719925378865033050e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.958690398274669286e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-1.031316982349569145e+00,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.010598903326384690e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.623542505628094546e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.956365202234638501e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.880259339235097027e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.183181192193492715e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.039104530278523564e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.075631448138006485e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.350566242163416364e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.867721591780387769e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.540715872603317438e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.487309974645569355e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.195030360802747715e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.495017251200668529e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.843166224948944221e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.818491641528641178e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.619507770039463335e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.214193156922972028e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.243196654765973186e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.348569912106848179e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.987853243688740612e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.864320659902545030e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.654450679987295780e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.252870867271739908e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.353338990789422880e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.200865963197121467e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.212586434345839903e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.127599674001980912e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-6.911534385864160912e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.407151154739505250e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.521324975298751880e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-7.401732354736563213e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.938322351450930237e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.356575258398848183e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.010046165611367286e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.042974095748586016e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-9.914359864670683198e-01,2.000000000000000000e+00
9.911242309594832101e-01,5.000000000000000000e-01,-8.228469283941169943e-01,2.000000000000000000e+00
